Date;Distributeur;CB;Total HT (5.5%);Total TVA (5.5%);Total HT (6%);Total TVA (6%);Total HT (10%);Total TVA (10%);Total HT;Total TTC
01/01/2021;We Love Pizza 2 - Haine Saint Paul;145.40;0.00;0.00;137.17;8.23;0.00;0.00;137.17;145.40
01/01/2021;We Love Pizza Gembloux;101.90;0.00;0.00;96.15;5.75;0.00;0.00;96.15;101.90
01/01/2021;[Sélection];247.30;0.00;0.00;233.32;13.98;0.00;0.00;233.32;247.30
02/01/2021;We Love Pizza 2 - Haine Saint Paul;178.00;0.00;0.00;167.94;10.06;0.00;0.00;167.94;178.00
02/01/2021;We Love Pizza Gembloux;88.00;0.00;0.00;83.05;4.95;0.00;0.00;83.05;88.00
02/01/2021;[Sélection];266.00;0.00;0.00;250.99;15.01;0.00;0.00;250.99;266.00
03/01/2021;We Love Pizza 2 - Haine Saint Paul;61.40;0.00;0.00;57.92;3.48;0.00;0.00;57.92;61.40
03/01/2021;We Love Pizza Gembloux;49.70;0.00;0.00;46.89;2.81;0.00;0.00;46.89;49.70
03/01/2021;[Sélection];111.10;0.00;0.00;104.81;6.29;0.00;0.00;104.81;111.10
04/01/2021;We Love Pizza 2 - Haine Saint Paul;98.40;0.00;0.00;92.84;5.56;0.00;0.00;92.84;98.40
04/01/2021;We Love Pizza Gembloux;101.50;0.00;0.00;95.76;5.74;0.00;0.00;95.76;101.50
04/01/2021;[Sélection];199.90;0.00;0.00;188.60;11.30;0.00;0.00;188.60;199.90
05/01/2021;We Love Pizza 2 - Haine Saint Paul;170.00;0.00;0.00;160.40;9.60;0.00;0.00;160.40;170.00
05/01/2021;We Love Pizza Gembloux;168.60;0.00;0.00;159.07;9.53;0.00;0.00;159.07;168.60
05/01/2021;[Sélection];338.60;0.00;0.00;319.47;19.13;0.00;0.00;319.47;338.60
06/01/2021;We Love Pizza 2 - Haine Saint Paul;116.50;0.00;0.00;109.92;6.58;0.00;0.00;109.92;116.50
06/01/2021;We Love Pizza Gembloux;57.10;0.00;0.00;53.87;3.23;0.00;0.00;53.87;57.10
06/01/2021;[Sélection];173.60;0.00;0.00;163.79;9.81;0.00;0.00;163.79;173.60
07/01/2021;We Love Pizza 2 - Haine Saint Paul;109.80;0.00;0.00;103.60;6.20;0.00;0.00;103.60;109.80
07/01/2021;We Love Pizza Gembloux;42.30;0.00;0.00;39.91;2.39;0.00;0.00;39.91;42.30
07/01/2021;[Sélection];152.10;0.00;0.00;143.51;8.59;0.00;0.00;143.51;152.10
08/01/2021;We Love Pizza 2 - Haine Saint Paul;93.90;0.00;0.00;88.59;5.31;0.00;0.00;88.59;93.90
08/01/2021;We Love Pizza Gembloux;198.70;0.00;0.00;187.49;11.21;0.00;0.00;187.49;198.70
08/01/2021;[Sélection];292.60;0.00;0.00;276.08;16.52;0.00;0.00;276.08;292.60
09/01/2021;We Love Pizza 2 - Haine Saint Paul;189.20;0.00;0.00;170.95;10.25;7.27;0.73;178.22;189.20
09/01/2021;We Love Pizza Gembloux;87.70;0.00;0.00;82.75;4.95;0.00;0.00;82.75;87.70
09/01/2021;[Sélection];276.90;0.00;0.00;253.70;15.20;7.27;0.73;260.97;276.90
10/01/2021;We Love Pizza 2 - Haine Saint Paul;158.60;0.00;0.00;149.62;8.98;0.00;0.00;149.62;158.60
10/01/2021;We Love Pizza Gembloux;35.10;0.00;0.00;33.12;1.98;0.00;0.00;33.12;35.10
10/01/2021;[Sélection];193.70;0.00;0.00;182.74;10.96;0.00;0.00;182.74;193.70
11/01/2021;We Love Pizza 2 - Haine Saint Paul;125.00;0.00;0.00;117.94;7.06;0.00;0.00;117.94;125.00
11/01/2021;We Love Pizza Gembloux;49.00;0.00;0.00;46.24;2.76;0.00;0.00;46.24;49.00
11/01/2021;[Sélection];174.00;0.00;0.00;164.18;9.82;0.00;0.00;164.18;174.00
12/01/2021;We Love Pizza 2 - Haine Saint Paul;82.00;0.00;0.00;77.37;4.63;0.00;0.00;77.37;82.00
12/01/2021;We Love Pizza Gembloux;100.90;0.00;0.00;95.20;5.70;0.00;0.00;95.20;100.90
12/01/2021;[Sélection];182.90;0.00;0.00;172.57;10.33;0.00;0.00;172.57;182.90
13/01/2021;We Love Pizza 2 - Haine Saint Paul;167.60;0.00;0.00;158.12;9.48;0.00;0.00;158.12;167.60
13/01/2021;We Love Pizza Gembloux;78.00;0.00;0.00;73.59;4.41;0.00;0.00;73.59;78.00
13/01/2021;[Sélection];245.60;0.00;0.00;231.71;13.89;0.00;0.00;231.71;245.60
14/01/2021;We Love Pizza 2 - Haine Saint Paul;20.90;0.00;0.00;19.72;1.18;0.00;0.00;19.72;20.90
14/01/2021;We Love Pizza Gembloux;74.70;0.00;0.00;70.49;4.21;0.00;0.00;70.49;74.70
14/01/2021;[Sélection];95.60;0.00;0.00;90.21;5.39;0.00;0.00;90.21;95.60
15/01/2021;We Love Pizza 2 - Haine Saint Paul;109.80;0.00;0.00;103.59;6.21;0.00;0.00;103.59;109.80
15/01/2021;We Love Pizza Gembloux;104.00;0.00;0.00;98.12;5.88;0.00;0.00;98.12;104.00
15/01/2021;[Sélection];213.80;0.00;0.00;201.71;12.09;0.00;0.00;201.71;213.80
16/01/2021;We Love Pizza 2 - Haine Saint Paul;49.60;0.00;0.00;46.80;2.80;0.00;0.00;46.80;49.60
16/01/2021;We Love Pizza Gembloux;91.20;0.00;0.00;86.04;5.16;0.00;0.00;86.04;91.20
16/01/2021;[Sélection];140.80;0.00;0.00;132.84;7.96;0.00;0.00;132.84;140.80
17/01/2021;We Love Pizza 2 - Haine Saint Paul;208.80;0.00;0.00;197.01;11.79;0.00;0.00;197.01;208.80
17/01/2021;We Love Pizza Gembloux;102.30;0.00;0.00;96.53;5.77;0.00;0.00;96.53;102.30
17/01/2021;[Sélection];311.10;0.00;0.00;293.54;17.56;0.00;0.00;293.54;311.10
18/01/2021;We Love Pizza 2 - Haine Saint Paul;102.40;0.00;0.00;96.62;5.78;0.00;0.00;96.62;102.40
18/01/2021;We Love Pizza Gembloux;102.25;0.00;0.00;96.48;5.77;0.00;0.00;96.48;102.25
18/01/2021;[Sélection];204.65;0.00;0.00;193.10;11.55;0.00;0.00;193.10;204.65
19/01/2021;We Love Pizza 2 - Haine Saint Paul;96.80;0.00;0.00;91.33;5.47;0.00;0.00;91.33;96.80
19/01/2021;We Love Pizza Gembloux;18.80;0.00;0.00;17.74;1.06;0.00;0.00;17.74;18.80
19/01/2021;[Sélection];115.60;0.00;0.00;109.07;6.53;0.00;0.00;109.07;115.60
20/01/2021;We Love Pizza 2 - Haine Saint Paul;56.20;0.00;0.00;53.02;3.18;0.00;0.00;53.02;56.20
20/01/2021;We Love Pizza Gembloux;81.70;0.00;0.00;77.08;4.62;0.00;0.00;77.08;81.70
20/01/2021;[Sélection];137.90;0.00;0.00;130.10;7.80;0.00;0.00;130.10;137.90
21/01/2021;We Love Pizza 2 - Haine Saint Paul;52.50;0.00;0.00;49.54;2.96;0.00;0.00;49.54;52.50
21/01/2021;We Love Pizza Gembloux;70.70;0.00;0.00;66.69;4.01;0.00;0.00;66.69;70.70
21/01/2021;[Sélection];123.20;0.00;0.00;116.23;6.97;0.00;0.00;116.23;123.20
22/01/2021;We Love Pizza 2 - Haine Saint Paul;115.80;0.00;0.00;109.27;6.53;0.00;0.00;109.27;115.80
22/01/2021;We Love Pizza Gembloux;31.50;0.00;0.00;29.72;1.78;0.00;0.00;29.72;31.50
22/01/2021;[Sélection];147.30;0.00;0.00;138.99;8.31;0.00;0.00;138.99;147.30
23/01/2021;We Love Pizza 2 - Haine Saint Paul;161.90;0.00;0.00;152.76;9.14;0.00;0.00;152.76;161.90
23/01/2021;We Love Pizza Gembloux;133.20;0.00;0.00;125.67;7.53;0.00;0.00;125.67;133.20
23/01/2021;[Sélection];295.10;0.00;0.00;278.43;16.67;0.00;0.00;278.43;295.10
24/01/2021;We Love Pizza 2 - Haine Saint Paul;73.60;0.00;0.00;69.45;4.15;0.00;0.00;69.45;73.60
24/01/2021;We Love Pizza Gembloux;52.70;0.00;0.00;49.73;2.97;0.00;0.00;49.73;52.70
24/01/2021;[Sélection];126.30;0.00;0.00;119.18;7.12;0.00;0.00;119.18;126.30
25/01/2021;We Love Pizza 2 - Haine Saint Paul;148.50;0.00;0.00;140.09;8.41;0.00;0.00;140.09;148.50
25/01/2021;We Love Pizza Gembloux;28.30;0.00;0.00;26.70;1.60;0.00;0.00;26.70;28.30
25/01/2021;[Sélection];176.80;0.00;0.00;166.79;10.01;0.00;0.00;166.79;176.80
26/01/2021;We Love Pizza 2 - Haine Saint Paul;89.30;0.00;0.00;84.26;5.04;0.00;0.00;84.26;89.30
26/01/2021;We Love Pizza Gembloux;31.90;0.00;0.00;30.10;1.80;0.00;0.00;30.10;31.90
26/01/2021;[Sélection];121.20;0.00;0.00;114.36;6.84;0.00;0.00;114.36;121.20
27/01/2021;We Love Pizza 2 - Haine Saint Paul;108.70;0.00;0.00;102.56;6.14;0.00;0.00;102.56;108.70
27/01/2021;We Love Pizza Gembloux;79.50;0.00;0.00;75.00;4.50;0.00;0.00;75.00;79.50
27/01/2021;[Sélection];188.20;0.00;0.00;177.56;10.64;0.00;0.00;177.56;188.20
28/01/2021;We Love Pizza 2 - Haine Saint Paul;118.10;0.00;0.00;111.44;6.66;0.00;0.00;111.44;118.10
28/01/2021;We Love Pizza Gembloux;34.05;0.00;0.00;32.13;1.92;0.00;0.00;32.13;34.05
28/01/2021;[Sélection];152.15;0.00;0.00;143.57;8.58;0.00;0.00;143.57;152.15
29/01/2021;We Love Pizza 2 - Haine Saint Paul;181.90;0.00;0.00;171.61;10.29;0.00;0.00;171.61;181.90
29/01/2021;We Love Pizza Gembloux;44.90;0.00;0.00;42.36;2.54;0.00;0.00;42.36;44.90
29/01/2021;[Sélection];226.80;0.00;0.00;213.97;12.83;0.00;0.00;213.97;226.80
30/01/2021;We Love Pizza 2 - Haine Saint Paul;81.60;0.00;0.00;76.97;4.63;0.00;0.00;76.97;81.60
30/01/2021;We Love Pizza Gembloux;95.10;0.00;0.00;89.71;5.39;0.00;0.00;89.71;95.10
30/01/2021;[Sélection];176.70;0.00;0.00;166.68;10.02;0.00;0.00;166.68;176.70
31/01/2021;We Love Pizza 2 - Haine Saint Paul;30.30;0.00;0.00;28.59;1.71;0.00;0.00;28.59;30.30
31/01/2021;We Love Pizza Gembloux;56.20;0.00;0.00;53.02;3.18;0.00;0.00;53.02;56.20
31/01/2021;[Sélection];86.50;0.00;0.00;81.61;4.89;0.00;0.00;81.61;86.50
01/02/2021;We Love Pizza 2 - Haine Saint Paul;44.70;0.00;0.00;42.18;2.52;0.00;0.00;42.18;44.70
01/02/2021;We Love Pizza Gembloux;74.00;0.00;0.00;69.82;4.18;0.00;0.00;69.82;74.00
01/02/2021;[Sélection];118.70;0.00;0.00;112.00;6.70;0.00;0.00;112.00;118.70
02/02/2021;We Love Pizza 2 - Haine Saint Paul;78.80;0.00;0.00;74.36;4.44;0.00;0.00;74.36;78.80
02/02/2021;We Love Pizza Gembloux;49.70;0.00;0.00;46.90;2.80;0.00;0.00;46.90;49.70
02/02/2021;[Sélection];128.50;0.00;0.00;121.26;7.24;0.00;0.00;121.26;128.50
03/02/2021;We Love Pizza 2 - Haine Saint Paul;38.20;0.00;0.00;36.04;2.16;0.00;0.00;36.04;38.20
03/02/2021;We Love Pizza Gembloux;57.50;0.00;0.00;54.25;3.25;0.00;0.00;54.25;57.50
